pos;name;cost;xpts;team
G;Cech;4.8;0.00;1
G;Leno;4.8;4.38;1
D;Koscielny;5.4;4.04;1
D;Bellerín;5.4;0.00;1
D;Monreal;5.4;3.81;1
D;Holding;4.3;0.00;1
D;Mustafi;5.4;2.27;1
D;Kolasinac;5;3.69;1
D;Mavropanos;4.7;0.00;1
D;Lichtsteiner;4.5;0.95;1
D;Sokratis;5.1;3.59;1
M;Özil;7.9;2.92;1
M;Ramsey;7.1;3.32;1
M;Iwobi;5.4;2.70;1
M;Elneny;4.2;0.23;1
M;Xhaka;5.2;2.55;1
M;Mkhitaryan;6.8;3.76;1
M;Nelson;4.4;0.00;1
M;Maitland-Niles;4.4;2.28;1
F;Welbeck;6.4;0.00;1
F;Lacazette;9.4;4.59;1
F;Aubameyang;10.8;4.91;1
M;Torreira;4.7;0.00;1
M;Guendouzi;4.4;1.86;1
G;Martínez;4;0.00;1
M;Smith-Rowe;4.5;0.00;1
D;Medley;4;0.00;1
F;Nketiah;5;0.00;1
M;Saka;4.5;0.00;1
M;Willock;4.5;0.00;1
D;Jenkinson;4.5;1.19;1
M;Suárez;5.9;0.45;1
G;Begovic;4.3;0.00;2
G;Boruc;4.1;3.66;2
D;Francis;4.3;0.00;2
D;Steve Cook;4.3;0.00;2
D;Daniels;4.1;1.73;2
D;Adam Smith;4.3;0.00;2
D;Mings;4.2;0.00;2
D;Aké;5.1;2.49;2
D;Simpson;3.8;0.43;2
M;Pugh;4.3;0.00;2
M;Surman;4.6;0.64;2
M;Stanislas;6;0.00;2
M;Gosling;4.7;0.00;2
M;Ibe;5;1.77;2
M;Lewis Cook;4.7;0.00;2
M;Fraser;6.2;3.65;2
M;Hyndman;4.5;0.00;2
M;Brooks;5.1;2.98;2
F;Wilson;6.5;3.67;2
F;Mousset;4.9;1.07;2
F;King;6.5;4.23;2
F;Defoe;5.6;0.00;2
D;Clyne;4.4;1.88;2
F;Solanke;4.7;1.18;2
D;Rico;4.1;0.61;2
M;Lerma;4.5;2.07;2
D;Mepham;4.5;1.79;2
F;Surridge;4.5;0.09;2
M;Taylor;4.5;0.00;2
G;Ryan;4.4;7.48;3
D;Dunk;4.4;4.60;3
D;Duffy;4.7;4.70;3
D;Bruno;4.4;0.00;3
D;Bong;4.4;2.87;3
D;Suttner;3.8;0.00;3
D;Schelotto;3.8;0.00;3
D;Balogun;4.2;0.00;3
M;Knockaert;5.2;4.42;3
M;Stephens;4.3;4.77;3
M;Kayal;4.4;0.20;3
M;March;4.8;2.89;3
M;Groß;6.7;2.52;3
M;Pröpper;4.8;5.13;3
M;Izquierdo;5.9;2.38;3
F;Murray;6.3;5.99;3
F;Hemed;4.9;0.00;3
F;Baldock;4.5;0.00;3
F;Locadia;5.3;2.89;3
F;Andone;5;1.13;3
G;Button;4;1.63;3
G;Steele;4;0.00;3
D;Bernardo;4.2;3.86;3
M;Bissouma;4.6;3.51;3
M;Jahanbakhsh;6.7;4.70;3
D;Montoya;4.3;4.32;3
F;Gyokeres;4.5;0.00;3
D;White;4;0.00;3
M;Sanders;4.5;0.00;3
D;Burn;4.5;0.00;3
G;Heaton;4.8;4.23;4
G;Pope;4.8;0.00;4
D;Lowton;4.6;0.10;4
D;Mee;4.6;2.89;4
D;Ward;4.7;0.00;4
D;Tarkowski;4.7;3.43;4
D;Long;4.1;0.00;4
D;Taylor;4.4;3.12;4
D;Bardsley;4.2;2.84;4
M;Gudmundsson;5.5;2.14;4
M;Defour;5.3;0.00;4
M;Hendrick;5.2;2.28;4
M;Brady;5.4;0.82;4
M;Westwood;4.6;2.50;4
M;Walters;4.7;0.00;4
M;Cork;4.6;2.57;4
M;Lennon;4.9;0.00;4
F;Vokes;5.3;0.00;4
F;Barnes;5.7;3.72;4
F;Wells;4.5;0.00;4
F;Wood;6.2;2.92;4
G;Lindegaard;4.3;0.00;4
G;Hart;4.2;0.00;4
D;Gibson;4.8;0.00;4
F;Vydra;5.6;0.10;4
M;McNeil;4.4;2.86;4
D;Koiki;4;0.00;4
M;Benson;4.5;0.00;4
F;Crouch;4.5;0.58;4
M;Arter;4.9;2.58;4
G;Etheridge;4.7;6.86;5
G;Smithies;4.2;0.00;5
D;Morrison;4.7;2.30;5
D;Bamba;4.6;0.00;5
D;Ecuele Manga;4.4;2.40;5
D;Connolly;3.8;0.00;5
D;Bennett;4.4;2.04;5
D;Peltier;3.9;1.64;5
D;Jazz Richards;3.9;0.00;5
D;Halford;4;0.00;5
M;Ralls;4.6;3.42;5
M;Hoilett;5;3.30;5
M;Mendez-Laing;4.8;2.19;5
M;Paterson;4.9;3.28;5
M;Gunnarsson;4.4;3.87;5
M;Pilkington;4.4;0.00;5
M;Damour;4.3;0.00;5
M;Ward;4.3;0.15;5
M;Murphy;4.8;2.84;5
F;Zohore;4.6;3.09;5
F;Bogle;4.5;0.00;5
F;Madine;4.4;0.00;5
F;Reid;5.2;3.06;5
F;Niasse;5;4.68;5
D;Cunningham;4.1;0.00;5
M;Camarasa;4.5;3.44;5
M;Harris;4.5;0.00;5
G;Brian Murphy;4;0.00;5
F;Healey;4.5;0.15;5
D;Bacuna;4.4;1.81;5
G;Courtois;5.5;0.00;6
G;Caballero;4.7;2.02;6
D;Azpilicueta;6.3;9.09;6
D;Cahill;5;0.00;6
D;Alonso;6.4;5.62;6
D;David Luiz;5.9;7.75;6
D;Moses;5.5;0.00;6
D;Rüdiger;5.9;7.80;6
D;Christensen;5;1.91;6
D;Zappacosta;5;0.00;6
D;Emerson;5.2;4.95;6
M;Hazard;10.9;11.66;6
M;Fàbregas;6.2;0.00;6
M;Willian;7.1;4.41;6
M;Pedro;6.4;6.80;6
M;Kanté;5;6.73;6
M;Barkley;5.1;4.89;6
M;Drinkwater;4.6;0.00;6
M;Bakayoko;4.9;0.00;6
M;Ampadu;4.4;0.00;6
M;Hudson-Odoi;4.2;1.14;6
M;Loftus-Cheek;5.2;2.26;6
F;Giroud;7.7;1.31;6
F;Morata;8.4;0.00;6
M;Jorginho;4.6;5.97;6
F;Abraham;5.4;0.00;6
G;Kepa;5.4;8.34;6
M;Kovacic;5.7;3.64;6
F;Higuaín;9.6;8.45;6
G;Hennessey;4.5;2.71;7
G;Speroni;3.9;1.76;7
G;Guaita;4.2;6.91;7
D;Tomkins;4.3;5.65;7
D;Dann;4.4;2.94;7
D;Kelly;3.9;2.38;7
D;Schlupp;4.5;7.69;7
D;van Aanholt;5.4;6.59;7
D;Sakho;4.9;0.00;7
D;Riedewald;4.3;0.00;7
D;Wan-Bissaka;4.5;5.68;7
M;McArthur;4.8;4.67;7
M;Sako;4.9;0.00;7
M;Townsend;5.8;6.92;7
M;Milivojevic;6.3;6.63;7
F;Zaha;6.9;6.09;7
F;Benteke;6.3;1.49;7
F;Sørloth;4.8;0.00;7
M;Kouyaté;4.7;2.89;7
D;Ward;4.3;2.68;7
D;Jach;4;0.00;7
D;Souaré;4.2;0.00;7
F;Wickham;4.9;0.00;7
M;Kaikai;4.3;0.00;7
M;Meyer;5.5;1.77;7
F;Ayew;5.7;1.85;7
G;Tupper;4;0.00;7
G;Perri;4;0.00;7
F;Batshuayi;6.5;6.00;7
G;Pickford;4.9;3.69;8
G;Stekelenburg;3.9;0.00;8
D;Baines;5;0.68;8
D;Coleman;5.2;2.35;8
D;Jagielka;4.3;0.00;8
D;Williams;4.5;0.00;8
D;Holgate;4.3;0.00;8
D;Kenny;4.2;1.12;8
D;Keane;4.8;2.52;8
D;Martina;4.5;0.00;8
M;Walcott;5.9;1.46;8
M;Bolasie;5.8;0.00;8
M;McCarthy;4.4;0.00;8
M;Schneiderlin;4.2;1.22;8
M;Gueye;4.7;2.28;8
M;Davies;5.1;0.73;8
M;Lookman;5;0.25;8
M;Klaassen;6;0.00;8
M;Sigurdsson;7.3;4.13;8
M;Vlasic;5;0.00;8
M;Baningime;4.3;0.00;8
F;Calvert-Lewin;5.3;2.94;8
F;Tosun;6.4;0.90;8
M;Richarlison;6.5;3.42;8
M;Mirallas;5.5;0.00;8
F;Sandro;5.4;0.00;8
D;Digne;5.2;2.91;8
D;Mina;5.4;1.14;8
M;Bernard;5.9;2.60;8
M;André Gomes;5.4;1.33;8
D;Zouma;5;2.37;8
M;Dowell;4.5;0.00;8
D;Browning;4;0.00;8
D;Chambers;4.2;2.80;8
G;Bettinelli;4.3;0.00;9
D;Ream;4.2;2.62;9
D;Odoi;4.4;2.38;9
M;Cairney;4.6;4.83;9
M;McDonald;4.2;2.22;9
M;Sessegnon;6;2.67;9
M;Johansen;5;0.00;9
M;Ayité;4.3;2.76;9
M;Kebano;4.3;0.07;9
M;Fonte;4.4;0.00;9
F;Kamara;4.5;0.00;9
D;Le Marchand;4.2;0.62;9
M;Seri;4.9;2.42;9
D;Christie;4.2;0.67;9
G;Fabri;4.2;0.00;9
M;Schürrle;5.5;2.22;9
F;Mitrovic;6.4;6.23;9
D;Mawson;4.8;0.00;9
G;Rico;4.4;6.83;9
D;Bryan;4.8;2.92;9
D;Fosu-Mensah;4.5;0.78;9
M;Zambo Anguissa;4.4;3.46;9
F;Vietto;5.3;1.35;9
M;Cissé;4.3;0.00;9
D;Steven Sessegnon;4;0.00;9
M;Babel;5.5;6.15;9
D;Nordtveit;4.5;2.47;9
M;Markovic;4.9;0.27;9
M;Puncheon;4.2;0.00;9
G;Hamer;3.9;0.16;10
G;Lössl;4.4;3.42;10
D;Schindler;4.2;1.32;10
D;Löwe;4.4;1.12;10
D;Smith;4.4;1.31;10
D;Zanka;4.4;0.85;10
D;Malone;4;0.00;10
D;Hadergjonaj;4.3;0.32;10
D;Kongolo;4.3;1.63;10
M;Mooy;5;2.49;10
M;van La Parra;4.6;0.00;10
M;Hogg;4.4;0.00;10
M;Billing;4.5;1.56;10
M;Ince;5;0.00;10
M;Williams;4.5;0.00;10
M;Sabiri;4.3;0.00;10
M;Pritchard;4.8;2.23;10
M;Sobhi;4.7;0.00;10
M;Bacuna;4.2;1.71;10
F;Quaner;4.3;0.00;10
F;Depoitre;5.1;0.00;10
F;Mounie;5.8;1.86;10
F;Kachunga;4.8;1.42;10
D;Durm;4.4;1.58;10
M;Diakhaby;4.5;0.00;10
M;Mbenza;5.9;0.00;10
D;Stankovic;3.9;1.44;10
G;Schofield;4;0.00;10
F;Grant;5;1.42;10
G;Coleman;4;0.00;10
D;Duhaney;4;0.00;10
M;Daly;4.5;0.00;10
M;Rowe;4.5;0.96;10
G;Schmeichel;5;3.97;11
G;Jakupovic;4.3;0.00;11
D;Morgan;4.5;1.50;11
D;Fuchs;4.1;0.64;11
D;Simpson;4.2;0.00;11
D;Benalouane;3.9;0.00;11
D;Chilwell;5;3.70;11
D;Maguire;5.4;0.00;11
D;Pereira;5.4;3.83;11
D;Evans;4.8;3.12;11
M;Albrighton;5.1;0.00;11
M;Gray;5.4;2.98;11
M;Amartey;4.3;0.00;11
M;Ndidi;4.9;2.71;11
M;Iborra;4.7;0.00;11
M;James;4.4;0.00;11
M;Choudhury;4.3;0.04;11
M;Silva;4.7;0.00;11
M;Diabaté;4.6;0.00;11
M;Maddison;6.8;3.97;11
F;Vardy;9.1;5.00;11
F;Okazaki;5.2;0.31;11
F;Iheanacho;5.7;0.18;11
G;Ward;4.3;0.00;11
M;Ghezzal;5;0.72;11
D;Benkovic;5;0.00;11
D;Söyüncü;4.9;0.00;11
M;Mendy;4.4;0.79;11
D;Knight;4;0.00;11
M;Barnes;5.5;3.56;11
M;Tielemans;6;3.58;11
G;Mignolet;4.7;0.00;12
G;Karius;4.9;0.00;12
D;Lovren;4.9;2.43;12
D;Moreno;4.1;0.00;12
D;Gomez;4.8;0.00;12
D;Matip;4.9;3.01;12
D;Klavan;4.4;0.00;12
D;Alexander-Arnold;5.6;3.36;12
D;van Dijk;6.6;3.47;12
D;Robertson;6.9;3.73;12
M;Chamberlain;6.4;0.00;12
M;Henderson;5.3;1.52;12
M;Lallana;6.9;1.95;12
M;Mané;10;5.76;12
M;Wijnaldum;5.5;2.89;12
M;Salah;13.3;6.81;12
M;Milner;5.6;2.66;12
M;Fabinho;5.5;2.94;12
M;Keita;7.1;0.89;12
F;Firmino;9.2;3.87;12
M;Shaqiri;6.9;0.49;12
G;Alisson;6;3.84;12
F;Sturridge;5.6;0.39;12
F;Origi;5;2.12;12
